Movie_title,Movie_title-href,Title,Director_1,Director_2,Actor_1,Actor_2,Actor_3,writer_1,writer_2,plot_Keyword_1,Plot_keyWord_2,plot_keyword_3,Genre_1,Genre_2,Genre_3,Production_Company_1,Production_Company_2,production_company_3,Release_month,Certificate_link,Certificate_link-href,Certificate,award_link,award_link-href,Award_1,Number_of_IMDB_user_reviews,Number_of_IMDB_critic_reviews,Number_of_IMBb_ratings,IMDb_score,Award_1_status,award_2,Award_2_status,Popularity,total_award_nomination,Country,language_1,language_2,film_location_1
Grizzly Man,http://www.imdb.com/title/tt0427312/?ref_=adv_li_tt,Grizzly Man (2005),Werner Herzog,null,Werner Herzog,Werner Herzog,Werner Herzog,Werner Herzog,null,man eaten by a bear,katmai national park alaska,interview,man eaten by a bear,katmai national park alaska,1 video,Lions Gate Films,Discovery Docs,Real Big Production,2 September 2005 (USA),,,,See more awards,http://www.imdb.com/title/tt0427312/awards?ref_=tt_awd,"American Cinema Editors, USA
 2006",392 user,200 critic,7.8,"44,331",null,"Boston Society of Film Critics Awards
 2005",null,null,See more awards »,USA,See more,null,"Alaska, USA"
City of Ghosts,http://www.imdb.com/title/tt6333056/?ref_=adv_li_tt,City of Ghosts (2017),Matthew Heineman,null,Abu Bakr Al-Baghdadi,Hassan,Hassan,Abu Bakr Al-Baghdadi,Hamoud,null,null,null,Documentary,War,3 videos,Our Time Projects,null,null,7 July 2017 (USA),null,,,,,,4 user,36 critic,7.5,323,,,,"2,662
      ( 1,217)",See more awards »,USA,English,null,"Istanbul, Turkey"
Casting JonBenet,http://www.imdb.com/title/tt6333052/?ref_=adv_li_tt,Casting JonBenet (2017),Kitty Green,null,Kitty Green,Liv Bagley,Liv Bagley,Kitty Green,null,child,murder,christmas,child,murder,77 news articles,Forensic Films,Symbolic Exchange,Meridian Entertainment,null,,,,See more awards,http://www.imdb.com/title/tt6333052/awards?ref_=tt_awd,"Montclair Film Festival (MFF)
 2017",21 user,22 critic,6.2,"2,250",null,"Sundance Film Festival
 2017",null,null,See more awards »,English,See more,null,company contact information
I Am Not Your Negro,http://www.imdb.com/title/tt5804038/?ref_=adv_li_tt,I Am Not Your Negro (2016),Raoul Peck,null,James Baldwin,Harry Belafonte,Harry Belafonte,James Baldwin,Raoul Peck,racism,martin luther king,assassination,racism,martin luther king,2 videos,Velvet Film,null,null,null,See more,http://www.imdb.com/title/tt5804038/releaseinfo?ref_=tt_dt_dt,null,,,,47 user,141 critic,7.6,"7,280",,,,"3,077
      ( 316)","Another
      21 wins & 39 nominations.",English,See more,null,null
Quay,http://www.imdb.com/title/tt4907572/?ref_=adv_li_tt,Quay (2015),Christopher Nolan,null,Stephen Quay,null,null,Stephen Quay,Timothy Quay,null,null,null,Documentary,Short,33 news articles,Syncopy,null,null,19 August 2015 (USA),,,,null,,,1 user,5 critic,7.5,562,,,,null,null,UK,English,null,"London, England, UK"
Monkey Business: The Adventures of Curious George's Creators,http://www.imdb.com/title/tt5958312/?ref_=adv_li_tt,Monkey Business: The Adventures of Curious George's Creators (2017),Ema Ryan Yamazaki,null,Erin Sanger,Nick Scrimshaw,Nick Scrimshaw,Erin Sanger,null,null,null,null,Documentary,null,1 video,null,null,null,null,,,,See more awards,http://www.imdb.com/title/tt5958312/awards?ref_=tt_awd,"Nantucket Film Festival
 2017",null,null,8.7,15,null,null,null,null,See more awards »,USA,Add content advisory for parents,null,company contact information
An Inconvenient Truth,http://www.imdb.com/title/tt0497116/?ref_=adv_li_tt,An Inconvenient Truth (2006),Davis Guggenheim,null,Al Gore,George Bush,George Bush,Al Gore,Billy West,climate,earth,lecture,climate,earth,1019 news articles,Lawrence Bender Productions,Participant Media,null,null,,,,See more awards,http://www.imdb.com/title/tt0497116/awards?ref_=tt_awd,"Academy Awards, USA
 2007",510 user,373 critic,7.5,"72,092",null,"Alliance of Women Film Journalists
 2006",null,"1,381
      ( 2,274)","Another
      31 wins & 11 nominations.",USA,See more,null,null
O.J.: Made in America,http://www.imdb.com/title/tt5275892/?ref_=adv_li_tt,O.J.: Made in America (2016),Ezra Edelman,null,Kareem Abdul-Jabbar,Muhammad Ali,Muhammad Ali,Kareem Abdul-Jabbar,Mike Albanese,celebrity,running back,Crime,celebrity,running back,546 news articles,ESPN Films,Laylow Films,null,Crime,,,,See more awards,http://www.imdb.com/title/tt5275892/awards?ref_=tt_awd,"Academy Awards, USA
 2017",58 user,38 critic,9,"11,247",null,"Primetime Emmy Awards
 2017",null,null,"Another
      43 wins & 35 nominations.",USA,English,null,company contact information
My Scientology Movie,http://www.imdb.com/title/tt5111874/?ref_=adv_li_tt,My Scientology Movie (2015),John Dower,null,John Dower,Tom Cruise,Tom Cruise,John Dower,John Dower,scientology,brainwashing,religious cult,scientology,brainwashing,1 video,BBC Films,Red Box Films,null,null,,,,See more awards,http://www.imdb.com/title/tt5111874/awards?ref_=tt_awd,"Empire Awards, UK
 2017",36 user,59 critic,6.7,"7,579",null,null,null,"4,182
      ( 2,060)",See more awards »,UK,English,null,"Los Angeles, California, USA"
An Inconvenient Sequel: Truth to Power,http://www.imdb.com/title/tt6322922/?ref_=adv_li_tt,Icarus (2017),Bryan Fogel,null,Jon Bertain,Grigory Rodchenkov,Grigory Rodchenkov,Jon Bertain,Bryan Fogel,null,null,null,Documentary,Thriller,1 video,Alex Productions,Diamond Docs,Impact Partners,4 August 2017 (USA),See all certifications,http://www.imdb.com/title/tt6333060/parentalguide?ref_=tt_stry_pg#certification,Singapore:NC16  / South Korea:15,,,,11 user,11 critic,8.2,"1,682",,,,"471
      ( 2,560)",See more awards »,USA,See all certifications,null,null
Cowspiracy: The Sustainability Secret,http://www.imdb.com/title/tt3302820/?ref_=adv_li_tt,Cowspiracy: The Sustainability Secret (2014),Kip Andersen,Keegan Kuhn,Kip Andersen,Lindsey Allen,Lindsey Allen,Kip Andersen,Keegan Kuhn,world,water scarcity,forest,world,water scarcity,1 news article,null,null,null,null,null,,,,,,56 user,12 critic,8.4,"13,449",,,,null,null,USA,English,null,company contact information
