Movie_title,Title,Director_1,Director_2,Actor_1,Actor_2,Actor_3,writer_1,writer_2,plot_Keyword_1,Plot_keyWord_2,plot_keyword_3,Genre_1,Genre_2,Genre_3,Production_Company_1,Production_Company_2,production_company_3,Release_month,Number_of_IMDB_user_reviews,Number_of_IMDB_critic_reviews,Number_of_IMBb_ratings,IMDb_score,Popularity,total_award_nomination,Country,language_1,language_2,film_location_1
Get Me Roger Stone,Get Me Roger Stone (2017),Dylan Bank,Daniel DiMauro,Dylan Bank,Paul Manafort,Paul Manafort,Dylan Bank,Daniel DiMauro,reference to donald trump,donald trump,null,reference to donald trump,donald trump,24 news articles,null,null,null,12 May 2017 (USA),12 user,27 critic,7.5,2229,"3,621
      ( 2,460)",See more awards »,English,See more,null,null
Kedi,Kedi (2016),Ceyda Torun,null,Bülent Üstün,null,null,Bülent Üstün,null,city,cat,animal documentary,city,cat,1 video,Termite Films,null,null,null,21 user,73 critic,7.9,2923,"1,819
      ( 386)",See more awards »,Turkey,See more,null,"Istanbul, Turkey"
Harry Styles: Behind the Album,Harry Styles: Behind the Album (2017),Paul Dugdale,null,Harry Styles,Sarah Jones,Sarah Jones,Harry Styles,Jeff Bhasker,null,null,null,Documentary,null,null,Fulwell 73,null,null,null,null,null,8.4,129,null,null,UK,Add content advisory for parents,null,null
Get Me Roger Stone,Get Me Roger Stone (2017),Dylan Bank,Daniel DiMauro,Dylan Bank,Paul Manafort,Paul Manafort,Dylan Bank,Daniel DiMauro,reference to donald trump,donald trump,null,reference to donald trump,donald trump,24 news articles,null,null,null,12 May 2017 (USA),12 user,27 critic,7.5,2229,"3,621
      ( 2,460)",See more awards »,English,See more,null,null
Amanda Knox,Amanda Knox (2016),Rod Blackhurst,Brian McGinn,Matthew Hamachek,Raffaele Sollecito,Raffaele Sollecito,Matthew Hamachek,Brian McGinn,italy,death,contaminated crime scene,italy,death,1 video,Netflix,Plus Pictures,null,30 September 2016 (USA),36 user,32 critic,7,10907,"4,911
      ( 214)","Another
      5 nominations.",English,See more,null,null
13th,13th (2016),Ava DuVernay,null,Spencer Averick,Cory Booker,Cory Booker,Spencer Averick,Ava DuVernay,prison,civil rights,History,prison,civil rights,1 video,Kandoo Films,null,null,History,54 user,86 critic,8.2,13523,"4,467
      ( 149)","Another
      25 wins & 41 nominations.",English,See more,null,null
Dunkirk,Dunkirk (2004),Alex Holmes,null,Alex Holmes,Clive Brunt,Clive Brunt,Alex Holmes,Neil McKay,evacuation,english channel,History,evacuation,english channel,12 news articles,null,null,null,History,10 user,1 critic,7.5,352,null,See more awards »,English,See more,null,Stereo
Earthlings,Earthlings (2005),Shaun Monson,null,Shaun Monson,null,null,Shaun Monson,null,hidden camera,killing a dog,laboratory,hidden camera,killing a dog,3 news articles,null,null,null,24 September 2005 (USA),89 user,11 critic,8.7,14194,null,null,USA,English,null,company contact information
Given,Given (2016),Jess Bianchi,null,Yvonne Georgina Puig,Given Goodwin,Given Goodwin,Yvonne Georgina Puig,Jess Bianchi,null,null,Family,Documentary,Adventure,Family,APU Productions,Avocados & Coconuts,null,Family,3 user,1 critic,7.9,496,null,null,USA,See all certifications,null,null
Hot Girls Wanted,Hot Girls Wanted (2015),Jill Bauer,Ronna Gradus,Brittany Huckabee,Rachel Bernard,Rachel Bernard,Brittany Huckabee,null,victimization porn,exploring sexuality,independent woman,victimization porn,exploring sexuality,1 video,Two to Tangle Productions,null,null,null,36 user,35 critic,6.1,10681,null,"Another
      1 nomination.",USA,English,null,"Arlington, Texas, USA"
After Porn Ends,After Porn Ends (2012),Bryce Wagoner,null,Amber Lynn,Bobby Slayton,Bobby Slayton,Amber Lynn,Asia Carrera,porn industry,female nudity,sexuality,porn industry,female nudity,1 video,Oxymoron Entertainment,Mallick Media,null,null,17 user,19 critic,5.7,5625,null,null,USA,English,null,"Animal Acres - 5200 Escondido Canyon Road, Acton, California, USA"
Before the Flood,Before the Flood (2016),Fisher Stevens,null,Mark Monroe,Jake Awa,Jake Awa,Mark Monroe,null,environment,ecosystem,climate change,environment,ecosystem,169 news articles,RatPac Documentary Films,Appian Way,Insurgent Docs,30 October 2016 (USA),64 user,26 critic,8.3,17347,"4,489
      ( 431)",See more awards »,English,See more,null,company contact information
The Nightmare,The Nightmare (2015),Rodney Ascher,null,Siegfried Peters,Estrella Cristina,Estrella Cristina,Siegfried Peters,Yatoya Toy,reenactment,interview,null,reenactment,interview,147 news articles,Zipper Bros Films,Highland Park Classics,New City Road,5 June 2015 (USA),53 user,87 critic,5.8,4782,null,See more awards »,English,See more,null,company contact information
Mommy Dead and Dearest,Mommy Dead and Dearest (2017),Erin Lee Carr,null,null,null,null,null,null,null,null,null,Documentary,null,5 news articles,HBO Documentary Films,null,null,null,6 user,8 critic,7.4,1678,null,See more awards »,English,See more,null,null
"Diana, Our Mother: Her Life and Legacy","Diana, Our Mother: Her Life and Legacy (2017)",Ashley Gething,null,Victor Adebowale,Jayne Fincher,Jayne Fincher,Victor Adebowale,Graham Dillamore,null,null,null,Documentary,null,58 news articles,Independent Television (ITV),Oxford Film & Television,null,null,1 user,1 critic,7.9,136,null,null,English,Add content advisory for parents,null,company contact information
Citizenfour,Citizenfour (2014),Laura Poitras,null,Edward Snowden,William Binney,William Binney,Edward Snowden,Glenn Greenwald,mass surveillance,government surveillance,number in title,mass surveillance,government surveillance,1 video,Praxis Films,Participant Media,HBO Documentary Films,28 November 2014 (USA),106 user,206 critic,8.1,43015,"4,823
      ( 215)","Another
      43 wins & 35 nominations.",USA,English,Portuguese,"Room 1014, Mira Hotel, Kowloon, Hong Kong, China"
The Imposter,The Imposter (2012),Bart Layton,null,Adam O'Brian,Carey Gibson,Carey Gibson,Adam O'Brian,Nicholas Barclay,texas,frenchman,identity theft,texas,frenchman,1 video,24 Seven Productions,A&E IndieFilms,Film4,10 January 2013 (New Zealand),79 user,212 critic,7.5,38065,"4,188
      ( 108)","Another
      11 wins & 30 nominations.",UK,See more,Spanish,"Phoenix, Arizona, USA"
The Red Pill,The Red Pill (2016),Cassie Jaye,null,Marc Angelucci,Richard Cassalata,Richard Cassalata,Marc Angelucci,Jack Barnes,misandry,f rated,gender,misandry,f rated,15 news articles,Jaye Bird Productions,null,null,null,96 user,17 critic,8.7,4605,null,See more awards »,USA,English,null,null
City of Ghosts,City of Ghosts (2017),Matthew Heineman,null,Abu Bakr Al-Baghdadi,Hassan,Hassan,Abu Bakr Al-Baghdadi,Hamoud,null,null,null,Documentary,War,3 videos,Our Time Projects,null,null,7 July 2017 (USA),4 user,36 critic,7.5,323,"2,662
      ( 1,217)",See more awards »,USA,English,null,"Istanbul, Turkey"
My Scientology Movie,My Scientology Movie (2015),John Dower,null,John Dower,Tom Cruise,Tom Cruise,John Dower,John Dower,scientology,brainwashing,religious cult,scientology,brainwashing,1 video,BBC Films,Red Box Films,null,null,36 user,59 critic,6.7,7579,"4,182
      ( 2,060)",See more awards »,UK,English,null,"Los Angeles, California, USA"
The Imposter,The Imposter (2012),Bart Layton,null,Adam O'Brian,Carey Gibson,Carey Gibson,Adam O'Brian,Nicholas Barclay,texas,frenchman,identity theft,texas,frenchman,1 video,24 Seven Productions,A&E IndieFilms,Film4,10 January 2013 (New Zealand),79 user,212 critic,7.5,38065,"4,188
      ( 108)","Another
      11 wins & 30 nominations.",UK,See more,Spanish,"Phoenix, Arizona, USA"
Mommy Dead and Dearest,Mommy Dead and Dearest (2017),Erin Lee Carr,null,null,null,null,null,null,null,null,null,Documentary,null,5 news articles,HBO Documentary Films,null,null,null,6 user,8 critic,7.4,1678,null,See more awards »,English,See more,null,null
Earthlings,Earthlings (2005),Shaun Monson,null,Shaun Monson,null,null,Shaun Monson,null,hidden camera,killing a dog,laboratory,hidden camera,killing a dog,3 news articles,null,null,null,24 September 2005 (USA),89 user,11 critic,8.7,14194,null,null,USA,English,null,company contact information
After Porn Ends,After Porn Ends (2012),Bryce Wagoner,null,Amber Lynn,Bobby Slayton,Bobby Slayton,Amber Lynn,Asia Carrera,porn industry,female nudity,sexuality,porn industry,female nudity,1 video,Oxymoron Entertainment,Mallick Media,null,null,17 user,19 critic,5.7,5625,null,null,USA,English,null,"Animal Acres - 5200 Escondido Canyon Road, Acton, California, USA"
Quay,Quay (2015),Christopher Nolan,null,Stephen Quay,null,null,Stephen Quay,Timothy Quay,null,null,null,Documentary,Short,33 news articles,Syncopy,null,null,19 August 2015 (USA),1 user,5 critic,7.5,562,null,null,UK,English,null,"London, England, UK"
I Am Bolt,I Am Bolt (2016),Benjamin Turner,Gabe Turner,Pele,Serena Williams,Serena Williams,Pele,Neymar,game,jamaican,Sport,game,jamaican,24 news articles,Fulwell 73,null,null,Sport,5 user,10 critic,7.1,1908,"4,356
      ( 6,146)",See more awards »,English,See more,null,company contact information
Chasing Coral,Chasing Coral (2017),Jeff Orlowski,null,Davis Coombe,Neal Cantin,Neal Cantin,Davis Coombe,Vickie Curtis,marine biology,underwater photography,time lapse photography,marine biology,underwater photography,2 videos,Argent Pictures,Code Blue Foundation,EarthSense Foundation,null,3 user,11 critic,8.2,996,"4,011
      ( 1,727)",See more awards »,USA,English,null,company contact information
Super Size Me,Super Size Me (2004),Morgan Spurlock,null,Morgan Spurlock,Chemeeka Walker,Chemeeka Walker,Morgan Spurlock,null,fast food,experiment,Drama,fast food,experiment,735 news articles,"Con, The",Kathbur Pictures,Studio On Hudson,Drama,416 user,195 critic,7.3,90054,"2,401
      ( 3,721)","Another
      7 wins & 11 nominations.",English,See more,null,null
Extraordinary: The Stan Romanek Story,Extraordinary: The Stan Romanek Story (2013),Jon Sumple,null,Jack Roth,Claude Swanson,Claude Swanson,Jack Roth,Jon Sumple,null,null,Sci-Fi,Documentary,Drama,Sci-Fi,j3FILMS,null,null,Sci-Fi,51 user,3 critic,3.8,888,null,null,USA,See all certifications,null,null
An Inconvenient Sequel: Truth to Power,Icarus (2017),Bryan Fogel,null,Jon Bertain,Grigory Rodchenkov,Grigory Rodchenkov,Jon Bertain,Bryan Fogel,null,null,null,Documentary,Thriller,1 video,Alex Productions,Diamond Docs,Impact Partners,4 August 2017 (USA),11 user,11 critic,8.2,1682,"471
      ( 2,560)",See more awards »,USA,See all certifications,null,null
I Am Bolt,I Am Bolt (2016),Benjamin Turner,Gabe Turner,Pele,Serena Williams,Serena Williams,Pele,Neymar,game,jamaican,Sport,game,jamaican,24 news articles,Fulwell 73,null,null,Sport,5 user,10 critic,7.1,1908,"4,356
      ( 6,146)",See more awards »,English,See more,null,company contact information
Step,Step (2017),Amanda Lipitz,null,Paula Dofat,Cori Grainger,Cori Grainger,Paula Dofat,Blessin Giraldo,null,null,null,Documentary,null,5 videos,Impact Partners,Stick Figure Productions,null,null,8 user,14 critic,6.1,180,"2,283
      ( 5,640)",See more awards »,USA,English,null,"Baltimore, Maryland, USA"
Tickled,Tickled (2016),David Farrier,Dylan Reeve,David Farrier,Marko Realmonte,Marko Realmonte,David Farrier,Dylan Reeve,tickling,hidden camera,investigative journalism,tickling,hidden camera,1 video,A Ticklish Tale,Fumes Production,Horseshoe Films,17 June 2016 (USA),26 user,88 critic,7.6,8540,null,See more awards »,New Zealand,English,null,"Los Angeles, California, USA"
The Act of Killing,The Act of Killing (2012),Joshua Oppenheimer,Anonymous,Anwar Congo,Syamsul Arifin,Syamsul Arifin,Anwar Congo,Herman Koto,musical number,death squad,Crime,musical number,death squad,1 video,Final Cut for Real,Piraya Film A/S,Novaya Zemlya,Crime,108 user,251 critic,8.2,27213,null,"Another
      53 wins & 41 nominations.",UK,See more,English,"Medan, Indonesia"
O.J.: Made in America,O.J.: Made in America (2016),Ezra Edelman,null,Kareem Abdul-Jabbar,Muhammad Ali,Muhammad Ali,Kareem Abdul-Jabbar,Mike Albanese,celebrity,running back,Crime,celebrity,running back,546 news articles,ESPN Films,Laylow Films,null,Crime,58 user,38 critic,9,11247,null,"Another
      43 wins & 35 nominations.",USA,English,null,company contact information
