Movie_title,Title,Director_1,Director_2,Actor_1,Actor_2,Actor_3,writer_1,writer_2,plot_Keyword_1,Plot_keyWord_2,plot_keyword_3,Genre_1,Genre_2,Genre_3,Production_Company_1,Production_Company_2,production_company_3,Release_month,Number_of_IMDB_user_reviews,Number_of_IMDB_critic_reviews,Number_of_IMBb_ratings,IMDb_score,Popularity,total_award_nomination,Country,language_1,language_2,film_location_1
Buying Sex,Buying Sex (2013),Teresa MacInnes,Kent Nason,Teresa MacInnes,Valerie Scott,Valerie Scott,Teresa MacInnes,null,prostitution,feminism,discrimination,prostitution,feminism,discrimination,National Film Board of Canada (NFB),null,null,null,2 user,null,5.3,129,null,See more awards »,English,See more,null,company contact information
Ice Guardians,Ice Guardians (2016),Brett Harvey,null,Scott Dodds,Dave Semenko,Dave Semenko,Scott Dodds,Brett Harvey,null,null,null,Documentary,Sport,1 video,Score G Production Films,Sophia Entertainment,SuperChannel,12 September 2016 (Canada),1 user,20 critic,7.9,153,null,See more awards »,Canada,English,null,null
Bob Dylan: Dont Look Back,Bob Dylan: Dont Look Back (1967),D.A. Pennebaker,null,D.A. Pennebaker,Bob Neuwirth,Bob Neuwirth,D.A. Pennebaker,null,tour,hotel,music fan,tour,hotel,33 news articles,Leacock-Pennebaker,null,null,24 February 1968 (Sweden),38 user,61 critic,8,6693,null,See more awards »,USA,English,null,"Newcastle upon Tyne, England, UK"
Never Sleep Again: The Elm Street Legacy,Never Sleep Again: The Elm Street Legacy (2010),Daniel Farrands,Andrew Kasch,Thommy Hutson,Erika Anderson,Erika Anderson,Thommy Hutson,null,freddy krueger,colon in title,seven word title,freddy krueger,colon in title,164 news articles,1428 Films,Panic Productions,null,Video 4 May 2010,25 user,60 critic,8.7,3326,null,See more awards »,USA,See more,null,null
The Phoenix Lights,The Phoenix Lights (2005),Lynne Kitei,null,Lynne Kitei,Tom Brunty,Tom Brunty,Lynne Kitei,null,f rated,mythology,phoenix lights,f rated,mythology,1 news article,Health Education Learning Programs,Steve Lantz Productions,null,null,9 user,1 critic,6.9,136,null,null,USA,English,null,null
Buying Sex,Buying Sex (2013),Teresa MacInnes,Kent Nason,Teresa MacInnes,Valerie Scott,Valerie Scott,Teresa MacInnes,null,prostitution,feminism,discrimination,prostitution,feminism,discrimination,National Film Board of Canada (NFB),null,null,null,2 user,null,5.3,129,null,See more awards »,English,See more,null,company contact information
This So-Called Disaster: Sam Shepard Directs the Late Henry Moss,This So-Called Disaster: Sam Shepard Directs the Late Henry Moss (2003),Michael Almereyda,null,Sam Shepard,Nick Nolte,Nick Nolte,Sam Shepard,Sean Penn,long title,hyphen in title,punctuation in title,long title,hyphen in title,3 news articles,IFC Productions,Keep Your Head,null,null,10 user,17 critic,6.3,215,null,See more awards »,English,See more,null,null
The Circle,The Circle (2014),Stefan Haupt,null,Stefan Haupt,Marie Leuenberger,Marie Leuenberger,Stefan Haupt,Christian Felix,anal sex,toilet sex,Drama,anal sex,toilet sex,48 news articles,Contrast Film,Schweizer Radio und Fernsehen (SRF),Ascot Elite Entertainment Group,Drama,6 user,41 critic,7.3,1167,null,See more awards »,Switzerland,Swiss German,German,"Zurich, Switzerland"
A Murder in the Park,A Murder in the Park (2014),Christopher S. Rech,Brandon Kimber,Dexter Hammett,Jason Patrick,Jason Patrick,Dexter Hammett,Joseph Alex,death penalty,gun crime,History,death penalty,gun crime,1 video,Transition Studios,Whole Truth Films,null,History,3 user,18 critic,7.3,777,null,null,USA,English,null,"Cleveland, Ohio, USA"
Chasing Trane: The John Coltrane Documentary,Chasing Trane: The John Coltrane Documentary (2016),John Scheinfeld,null,John Scheinfeld,Bill Clinton,Bill Clinton,John Scheinfeld,null,null,null,Music,Documentary,Biography,6 news articles,Meteor 17,Crew Neck Productions,null,Music,2 user,10 critic,7.8,119,null,null,USA,Add content advisory for parents,null,null
American Valhalla,American Valhalla (2017),Josh Homme,Andreas Neumann,Joss Crowley,Matt Helders,Matt Helders,Joss Crowley,null,null,null,null,Documentary,null,null,Do Stuff Corporation,Eagle Rock Productions,Siouxx Produtions,null,2 critic,null,8.7,19,null,null,English,See more,null,null
American Valhalla,American Valhalla (2017),Josh Homme,Andreas Neumann,Joss Crowley,Matt Helders,Matt Helders,Joss Crowley,null,null,null,null,Documentary,null,null,Do Stuff Corporation,Eagle Rock Productions,Siouxx Produtions,null,2 critic,null,8.7,19,null,null,English,See more,null,null
Big Time Tour,Big Time Tour (2012),Kendall Schmidt,James Maslow,null,Carlos PenaVega,Carlos PenaVega,null,null,null,null,null,Documentary,Music,null,null,null,null,TV Movie 21 April 2012,null,null,7.5,147,null,null,USA,English,null,company contact information
My Amityville Horror,My Amityville Horror (2012),Eric Walter,null,Eric Walter,Laura DiDio,Laura DiDio,Eric Walter,null,haunting,amityville,paranormal phenomena,haunting,amityville,2 videos,Film Regions International (FRI),Lost Witness Pictures,null,null,27 user,57 critic,5.5,1574,null,See more awards »,USA,See more,null,"Amityville, Long Island, New York, USA"
Momento,Momento (2013),Steffen Boseckert,null,Janosch Blaul,Sebastian Singwald,Sebastian Singwald,Janosch Blaul,Janosch Blaul,null,null,null,Documentary,Music,null,null,null,null,null,null,null,7.9,9,null,null,German,Add content advisory for parents,IMDbPro,null
Dave Chappelle's Block Party,Dave Chappelle's Block Party (2005),Michel Gondry,null,Dave Chappelle,Lauryn Hill,Lauryn Hill,Dave Chappelle,null,neighborhood,marching band,Music,neighborhood,marching band,77 news articles,Bob Yari Productions,Focus Features,Partizan,Music,72 user,113 critic,7.2,8069,null,See more awards »,USA,See more,null,"Bedford-Stuyvesant, Brooklyn, New York City, New York, USA"
Video Games: The Movie,Video Games: The Movie (2014),Jeremy Snead,null,Jeremy Snead,Peter Armstrong,Peter Armstrong,Jeremy Snead,null,null,null,History,Documentary,Animation,4 videos,Mediajuice Studios,"Creative Group PR, The",null,History,25 user,25 critic,6.1,4948,null,See more awards »,USA,View content advisory,null,null
Orange Sunshine,Orange Sunshine (2016),William A. Kirkley,null,William A. Kirkley,Francesca Galassi,Francesca Galassi,William A. Kirkley,null,lsd,afghanistan,Biography,lsd,afghanistan,9 news articles,null,null,null,Biography,6 user,6 critic,7.3,228,null,See more awards »,English,See more,null,Color
Burden of Dreams,Burden of Dreams (1982),Les Blank,null,Michael Goodwin,Claudia Cardinale,Claudia Cardinale,Michael Goodwin,null,peru,german,amazon,peru,german,71 news articles,Flower Films,null,null,null,24 user,48 critic,8,4773,null,See more awards »,Spanish,See more,null,null
Dina,Dina (2017),Antonio Santini,Dan Sickles,Dina Buno,Killer Films,Killer Films,Dina Buno,Scott Levin,null,null,null,Documentary,null,null,Cinereach,El Peligro,Killer Films,null,2 user,5 critic,7.7,54,null,See more awards »,English,Add content advisory for parents,null,null
Comedian,Comedian (2002),Christian Charles,null,Jerry Seinfeld,Garry Shandling,Garry Shandling,Jerry Seinfeld,Chris Rock,comedian,stand up comedian,comedy club,comedian,stand up comedian,2 news articles,Bridgnorth Films,New Material,null,1 November 2002 (USA),61 user,46 critic,7,5332,null,See more awards »,USA,See more,null,"Carolines on Broadway, Times Square, Manhattan, New York City, New York, USA"
Ice Guardians,Ice Guardians (2016),Brett Harvey,null,Scott Dodds,Dave Semenko,Dave Semenko,Scott Dodds,Brett Harvey,null,null,null,Documentary,Sport,1 video,Score G Production Films,Sophia Entertainment,SuperChannel,12 September 2016 (Canada),1 user,20 critic,7.9,153,null,See more awards »,Canada,English,null,null
DRUNK STONED BRILLIANT DEAD: The Story of the National Lampoon,DRUNK STONED BRILLIANT DEAD: The Story of the National Lampoon (2015),Douglas Tirola,null,Mark Monroe,Kevin Bacon,Kevin Bacon,Mark Monroe,Douglas Tirola,null,null,Comedy,Documentary,Biography,1 video,4th Row Films,Diamond Docs,History Films,Comedy,11 user,54 critic,7.1,1358,null,See more awards »,USA,English,null,null
Momento,Momento (2013),Steffen Boseckert,null,Janosch Blaul,Sebastian Singwald,Sebastian Singwald,Janosch Blaul,Janosch Blaul,null,null,null,Documentary,Music,null,null,null,null,null,null,null,7.9,9,null,null,German,Add content advisory for parents,IMDbPro,null
Ghost Adventures,Ghost Adventures (2004),Zak Bagans,Nick Groff,Zak Bagans,Nick Groff,Nick Groff,Zak Bagans,Nick Groff,null,null,null,Documentary,null,null,4 Reel Productions,null,null,null,null,null,8,968,null,null,English,Add content advisory for parents,null,company contact information
The Galapagos Affair: Satan Came to Eden,The Galapagos Affair: Satan Came to Eden (2013),Daniel Geller,Dayna Goldfine,Dayna Goldfine,Thomas Kretschmann,Thomas Kretschmann,Dayna Goldfine,Daniel Geller,island,galapagos,Crime,island,galapagos,1 video,Geller/Goldfine Productions,null,null,Crime,11 user,38 critic,6.8,1002,null,See more awards »,USA,English,null,null
The Galapagos Affair: Satan Came to Eden,The Galapagos Affair: Satan Came to Eden (2013),Daniel Geller,Dayna Goldfine,Dayna Goldfine,Thomas Kretschmann,Thomas Kretschmann,Dayna Goldfine,Daniel Geller,island,galapagos,Crime,island,galapagos,1 video,Geller/Goldfine Productions,null,null,Crime,11 user,38 critic,6.8,1002,null,See more awards »,USA,English,null,null
Vegas Baby,Vegas Baby (2016),Amanda Micheli,null,Athena Reich,null,null,Athena Reich,null,null,null,null,Documentary,null,8 news articles,Runaway Films,null,null,null,7 user,2 critic,8,37,null,See more awards »,USA,English,null,null
Buena Vista Social Club: Adios,Buena Vista Social Club: Adios (2017),Lucy Walker,null,Ibrahim Ferrer,Manuel 'Guajiro' Mirabal,Manuel 'Guajiro' Mirabal,Ibrahim Ferrer,Omara Portuondo,null,null,null,Documentary,null,3 videos,Blink TV,Broad Green Pictures,Convergent Media,null,4 critic,null,6.8,64,null,null,Cuba,MPAA,Spanish,null
Eating You Alive,Eating You Alive (2016),Paul David Kennamer Jr.,null,Suzy Amis,James Cameron,James Cameron,Suzy Amis,Neal Barnard,health,whole food plant based,chronic disease,health,whole food plant based,chronic disease,Garden Fresh Media,Quite Quick Productions,null,null,3 user,2 critic,8.8,147,null,null,USA,English,null,company contact information
Blindspot: The 360 Experience,Blindspot: The 360 Experience (2016),Nick Bicanic,null,null,null,null,null,null,null,null,null,Documentary,Short,null,NBC TV,RVLVR,null,Video 15 September 2016,null,null,9.2,83,null,null,USA,English,null,company contact information
Ghost Adventures,Ghost Adventures (2004),Zak Bagans,Nick Groff,Zak Bagans,Nick Groff,Nick Groff,Zak Bagans,Nick Groff,null,null,null,Documentary,null,null,4 Reel Productions,null,null,null,null,null,8,968,null,null,English,Add content advisory for parents,null,company contact information
Comedian,Comedian (2002),Christian Charles,null,Jerry Seinfeld,Garry Shandling,Garry Shandling,Jerry Seinfeld,Chris Rock,comedian,stand up comedian,comedy club,comedian,stand up comedian,2 news articles,Bridgnorth Films,New Material,null,1 November 2002 (USA),61 user,46 critic,7,5332,null,See more awards »,USA,See more,null,"Carolines on Broadway, Times Square, Manhattan, New York City, New York, USA"
Chasing Trane: The John Coltrane Documentary,Chasing Trane: The John Coltrane Documentary (2016),John Scheinfeld,null,John Scheinfeld,Bill Clinton,Bill Clinton,John Scheinfeld,null,null,null,Music,Documentary,Biography,6 news articles,Meteor 17,Crew Neck Productions,null,Music,2 user,10 critic,7.8,119,null,null,USA,Add content advisory for parents,null,null
Orange Sunshine,Orange Sunshine (2016),William A. Kirkley,null,William A. Kirkley,Francesca Galassi,Francesca Galassi,William A. Kirkley,null,lsd,afghanistan,Biography,lsd,afghanistan,9 news articles,null,null,null,Biography,6 user,6 critic,7.3,228,null,See more awards »,English,See more,null,Color
Playboy: Sexiest Amateur Home Videos,Playboy: Sexiest Amateur Home Videos (2005),Liza Hartling,Jelena Jensen,null,Jessica Kershner,Jessica Kershner,null,null,sex,female rear nudity,brunette,sex,female rear nudity,brunette,Playboy Entertainment Group,null,null,null,1 user,null,6.8,117,null,null,English,See all certifications,null,Color
Marwencol,Marwencol (2010),Jeff Malmberg,null,Mark Hogancamp,Edda Hogancamp,Edda Hogancamp,Mark Hogancamp,Emmanuel Nneji,coma,one word title,Fantasy,coma,one word title,1 video,Open Face,null,null,Fantasy,15 user,68 critic,7.6,2564,null,See more awards »,USA,English,null,"Kingston, New York, USA"
Bob Dylan: Dont Look Back,Bob Dylan: Dont Look Back (1967),D.A. Pennebaker,null,D.A. Pennebaker,Bob Neuwirth,Bob Neuwirth,D.A. Pennebaker,null,tour,hotel,music fan,tour,hotel,33 news articles,Leacock-Pennebaker,null,null,24 February 1968 (Sweden),38 user,61 critic,8,6693,null,See more awards »,USA,English,null,"Newcastle upon Tyne, England, UK"
Playboy: The Best of Jenny McCarthy,Playboy: The Best of Jenny McCarthy (1998),Vicangelo Bulluck,Scott Allen,Jenny McCarthy,Joanne McCarthy,Joanne McCarthy,Jenny McCarthy,Lynette McCarthy,sex,topless female nudity,female rear nudity,sex,topless female nudity,female rear nudity,null,null,null,null,1 user,null,6.1,135,null,null,English,See more,null,null
Led Zeppelin: The Song Remains the Same,Led Zeppelin: The Song Remains the Same (1976),Peter Clifton,Joe Massot,Peter Clifton,John Paul Jones,John Paul Jones,Peter Clifton,null,song,led zeppelin,tour,song,led zeppelin,47 news articles,Swan Song,null,null,20 October 1976 (USA),90 user,31 critic,7.6,6537,null,null,English,See more,null,null
Dina,Dina (2017),Antonio Santini,Dan Sickles,Dina Buno,Killer Films,Killer Films,Dina Buno,Scott Levin,null,null,null,Documentary,null,null,Cinereach,El Peligro,Killer Films,null,2 user,5 critic,7.7,54,null,See more awards »,English,Add content advisory for parents,null,null
Who the Fuck is That Guy? The Fabulous Journey of Michael Alago,Who the Fuck is That Guy? The Fabulous Journey of Michael Alago (2017),Drew Stone,null,Michael Alago,null,null,Michael Alago,null,null,null,null,Documentary,Music,2 videos,Rugged Entertainment,null,null,21 July 2017 (USA),1 critic,null,null,null,null,null,English,Add content advisory for parents,null,company contact information
The Phoenix Lights,The Phoenix Lights (2005),Lynne Kitei,null,Lynne Kitei,Tom Brunty,Tom Brunty,Lynne Kitei,null,f rated,mythology,phoenix lights,f rated,mythology,1 news article,Health Education Learning Programs,Steve Lantz Productions,null,null,9 user,1 critic,6.9,136,null,null,USA,English,null,null
The Last Dalai Lama?,The Last Dalai Lama? (2016),Mickey Lemle,null,Mickey Lemle,Tenzin Choegyal,Tenzin Choegyal,Mickey Lemle,null,tibetan buddhism,null,null,tibetan buddhism,null,null,Lemle Pictures Inc.,null,null,null,1 critic,null,7.3,9,null,null,USA,English,null,null
Heart of a Dog,Heart of a Dog (2015),Laurie Anderson,null,Laurie Anderson,Jason Berg,Jason Berg,Laurie Anderson,null,f rated,null,null,f rated,null,129 news articles,Canal Street Communications,Arte France,La Lucarne,null,19 user,72 critic,7.1,1471,null,See more awards »,USA,English,null,"New York City, New York, USA"
Back in Time,Back in Time (2015),Jason Aron,null,Steven Spielberg,Robert Zemeckis,Robert Zemeckis,Steven Spielberg,Michael J. Fox,back to the future,time travel,History,back to the future,time travel,80 news articles,Malka Media Group,Jason Aron Media,Patchwork Media,History,20 user,15 critic,6.3,3142,null,null,USA,English,English,null
Led Zeppelin: The Song Remains the Same,Led Zeppelin: The Song Remains the Same (1976),Peter Clifton,Joe Massot,Peter Clifton,John Paul Jones,John Paul Jones,Peter Clifton,null,song,led zeppelin,tour,song,led zeppelin,47 news articles,Swan Song,null,null,20 October 1976 (USA),90 user,31 critic,7.6,6537,null,null,English,See more,null,null
Naqoyqatsi,Naqoyqatsi (2002),Godfrey Reggio,null,Godfrey Reggio,Elton John,Elton John,Godfrey Reggio,null,technology,violence,trippy,technology,violence,28 news articles,Miramax,Qatsi Productions,null,1 September 2003 (New Zealand),64 user,43 critic,6.7,4487,null,null,USA,See more,null,"Michigan Central Depot - W. Vernor and W. Michigan Avenues, Detroit, Michigan, USA"
Lost in La Mancha,Lost in La Mancha (2002),Keith Fulton,Louis Pepe,Terry Gilliam,Jeff Bridges,Jeff Bridges,Terry Gilliam,Johnny Depp,don quixote,filmmaker,actor,don quixote,filmmaker,245 news articles,Quixote Films,Low Key Productions,Eastcroft Productions,null,66 user,86 critic,7.4,9848,null,See more awards »,UK,English,Spanish,"Monasterio de Piedra, Nuévalos, Zaragoza, Aragón, Spain"
We Steal Secrets: The Story of WikiLeaks,We Steal Secrets: The Story of WikiLeaks (2013),Alex Gibney,null,Alex Gibney,John 'FuzzFace' McMahon,John 'FuzzFace' McMahon,Alex Gibney,null,website,snitch,stool pigeon,website,snitch,1 video,Jigsaw,Global Produce,Universal Pictures,null,44 user,93 critic,6.9,6684,null,"Another
      3 wins & 8 nominations.",USA,English,null,null
Lady Valor: The Kristin Beck Story,Lady Valor: The Kristin Beck Story (2014),Mark Herzog,Sandrine Orabona,Kristin Beck,null,null,Kristin Beck,null,null,null,null,Documentary,null,3 news articles,Herzog & Company,Easy Day Media,null,null,3 user,5 critic,7.4,123,null,See more awards »,English,Add content advisory for parents,null,company contact information
Heart of a Dog,Heart of a Dog (2015),Laurie Anderson,null,Laurie Anderson,Jason Berg,Jason Berg,Laurie Anderson,null,f rated,null,null,f rated,null,129 news articles,Canal Street Communications,Arte France,La Lucarne,null,19 user,72 critic,7.1,1471,null,See more awards »,USA,English,null,"New York City, New York, USA"
My Amityville Horror,My Amityville Horror (2012),Eric Walter,null,Eric Walter,Laura DiDio,Laura DiDio,Eric Walter,null,haunting,amityville,paranormal phenomena,haunting,amityville,2 videos,Film Regions International (FRI),Lost Witness Pictures,null,null,27 user,57 critic,5.5,1574,null,See more awards »,USA,See more,null,"Amityville, Long Island, New York, USA"
This So-Called Disaster: Sam Shepard Directs the Late Henry Moss,This So-Called Disaster: Sam Shepard Directs the Late Henry Moss (2003),Michael Almereyda,null,Sam Shepard,Nick Nolte,Nick Nolte,Sam Shepard,Sean Penn,long title,hyphen in title,punctuation in title,long title,hyphen in title,3 news articles,IFC Productions,Keep Your Head,null,null,10 user,17 critic,6.3,215,null,See more awards »,English,See more,null,null
Bombshell: The Hedy Lamarr Story,Bombshell: The Hedy Lamarr Story (2017),Alexandra Dean,null,Alexandra Dean,Jeanine Basinger,Jeanine Basinger,Alexandra Dean,null,independent film,null,History,independent film,Biography,10 news articles,Reframed Pictures,null,null,History,1 user,2 critic,8.1,17,null,See more awards »,USA,English,null,null
The Slenderman Case,The Slenderman Case (2018),Mr.Josh,null,null,null,null,null,null,null,null,Mystery,Documentary,Horror,Mystery,Venom Pictures,null,null,Mystery,null,null,null,null,null,null,Italy,Italian,English,Color
Let's Get Lost,Let's Get Lost (1988),Bruce Weber,null,Chet Baker,Vera Baker,Vera Baker,Chet Baker,Carol Baker,jazz,drug addict,Music,jazz,drug addict,20 news articles,Little Bear Productions,Nan Bush,null,Music,17 user,44 critic,7.9,1418,null,"Another
      3 wins & 3 nominations.",USA,English,Spanish,"Palais des Festivals, Cannes, Alpes-Maritimes, France"
The Last Dalai Lama?,The Last Dalai Lama? (2016),Mickey Lemle,null,Mickey Lemle,Tenzin Choegyal,Tenzin Choegyal,Mickey Lemle,null,tibetan buddhism,null,null,tibetan buddhism,null,null,Lemle Pictures Inc.,null,null,null,1 critic,null,7.3,9,null,null,USA,English,null,null
Naqoyqatsi,Naqoyqatsi (2002),Godfrey Reggio,null,Godfrey Reggio,Elton John,Elton John,Godfrey Reggio,null,technology,violence,trippy,technology,violence,28 news articles,Miramax,Qatsi Productions,null,1 September 2003 (New Zealand),64 user,43 critic,6.7,4487,null,null,USA,See more,null,"Michigan Central Depot - W. Vernor and W. Michigan Avenues, Detroit, Michigan, USA"
Pumping Iron II: The Women,Pumping Iron II: The Women (1985),George Butler,null,George Butler,Lydia Cheng,Lydia Cheng,George Butler,George Butler,sequel to cult favorite,bodybuilding competition,sexploitation,sequel to cult favorite,bodybuilding competition,sexploitation,Bar Belle,Gym Tech,Pumping Iron,3 May 1985 (USA),10 user,4 critic,5.9,294,null,null,English,See more,null,company contact information
Thought Crimes: The Case of the Cannibal Cop,Thought Crimes: The Case of the Cannibal Cop (2015),Erin Lee Carr,null,Gary Allen,James A. Cohen,James A. Cohen,Gary Allen,Violet Blue,cannibalism,trial,kidnapping,cannibalism,trial,kidnapping,HBO Documentary Films,null,null,null,3 user,10 critic,6.5,772,null,See more awards »,USA,English,null,null
Lost in La Mancha,Lost in La Mancha (2002),Keith Fulton,Louis Pepe,Terry Gilliam,Jeff Bridges,Jeff Bridges,Terry Gilliam,Johnny Depp,don quixote,filmmaker,actor,don quixote,filmmaker,245 news articles,Quixote Films,Low Key Productions,Eastcroft Productions,null,66 user,86 critic,7.4,9848,null,See more awards »,UK,English,Spanish,"Monasterio de Piedra, Nuévalos, Zaragoza, Aragón, Spain"
We Steal Secrets: The Story of WikiLeaks,We Steal Secrets: The Story of WikiLeaks (2013),Alex Gibney,null,Alex Gibney,John 'FuzzFace' McMahon,John 'FuzzFace' McMahon,Alex Gibney,null,website,snitch,stool pigeon,website,snitch,1 video,Jigsaw,Global Produce,Universal Pictures,null,44 user,93 critic,6.9,6684,null,"Another
      3 wins & 8 nominations.",USA,English,null,null
Who the Fuck is That Guy? The Fabulous Journey of Michael Alago,Who the Fuck is That Guy? The Fabulous Journey of Michael Alago (2017),Drew Stone,null,Michael Alago,null,null,Michael Alago,null,null,null,null,Documentary,Music,2 videos,Rugged Entertainment,null,null,21 July 2017 (USA),1 critic,null,null,null,null,null,English,Add content advisory for parents,null,company contact information
Johnny Cash: American Rebel,Johnny Cash: American Rebel (2015),Derik Murray,Jordan Tappis,Steve Burgess,Willie Nelson,Willie Nelson,Steve Burgess,Mark Stielper,null,null,null,Documentary,null,2 news articles,Network Entertainment,null,null,null,2 user,null,7.7,195,null,See more awards »,English,Add content advisory for parents,null,null
Blindspot: The 360 Experience,Blindspot: The 360 Experience (2016),Nick Bicanic,null,null,null,null,null,null,null,null,null,Documentary,Short,null,NBC TV,RVLVR,null,Video 15 September 2016,null,null,9.2,83,null,null,USA,English,null,company contact information
Console Wars,Console Wars,Evan Goldberg,Seth Rogen,Evan Goldberg,Scott Rudin Productions,Scott Rudin Productions,Evan Goldberg,Blake J. Harris,null,null,Drama,Documentary,Comedy,Drama,Flying Penguin Pictures,Point Grey Pictures,Scott Rudin Productions,Drama,null,null,null,null,null,null,English,Add content advisory for parents,null,Color
Thought Crimes: The Case of the Cannibal Cop,Thought Crimes: The Case of the Cannibal Cop (2015),Erin Lee Carr,null,Gary Allen,James A. Cohen,James A. Cohen,Gary Allen,Violet Blue,cannibalism,trial,kidnapping,cannibalism,trial,kidnapping,HBO Documentary Films,null,null,null,3 user,10 critic,6.5,772,null,See more awards »,USA,English,null,null
The Enemies Within,The Enemies Within (2016),Judd Saul,null,Clare Lopez,James Simpson,James Simpson,Clare Lopez,Trevor Loudon,null,null,null,Documentary,null,null,null,null,null,null,5 user,2 critic,5.8,49,null,null,USA,English,null,company contact information
The Most Hated Family in America,The Most Hated Family in America (2007),Geoffrey O'Connor,null,Louis Theroux,Steve Drain,Steve Drain,Louis Theroux,null,baptist preacher,calvinism,brunette,baptist preacher,calvinism,4 news articles,British Broadcasting Corporation (BBC),null,null,null,11 user,null,8,3160,null,null,English,See more,null,null
I'll Sleep When I'm Dead,I'll Sleep When I'm Dead (2016),Justin Krook,null,Devon Aoki,Will.i.am,Will.i.am,Devon Aoki,Benji Madden,null,null,null,Documentary,null,1 video,City Room Creative,Hyperion Media Group,MediaWeaver Productions,null,3 user,4 critic,6.8,819,null,See more awards »,English,See all certifications,null,null
UnHung Hero,UnHung Hero (2013),Brian Spitz,null,Patrick Moote,Axel Braun,Axel Braun,Patrick Moote,Wendy Suzann Miller,porn star,penis enlargement,penis size,porn star,penis enlargement,penis size,greenskyFILMS,null,null,null,20 user,21 critic,5.5,2480,null,See more awards »,USA,English,Mandarin,"Los Angeles, California, USA"
Where in the World Is Osama Bin Laden?,Where in the World Is Osama Bin Laden? (2008),Morgan Spurlock,null,Jeremy Chilnick,Dick Cheney,Dick Cheney,Jeremy Chilnick,Morgan Spurlock,terrorist,middle east,War,terrorist,middle east,1 video,"Weinstein Company, The",Wild Bunch,Warrior Poets,War,35 user,103 critic,6.6,5674,null,See more awards »,France,English,Arabic,Afghanistan
Lenny Cooke,Lenny Cooke (2013),Benny Safdie,Josh Safdie,Lenny Cooke,null,null,Lenny Cooke,null,nba,basketball,Drama,nba,basketball,1 video,Shop Korn Productions,null,null,Drama,1 user,9 critic,6.5,243,null,See more awards »,USA,English,null,company contact information
Unity,Unity (2015),Shaun Monson,null,Shaun Monson,Adrian Grenier,Adrian Grenier,Shaun Monson,null,null,null,null,Documentary,null,48 news articles,Nation Earth,null,null,null,7 user,10 critic,7.6,606,null,null,USA,English,null,null
"Fat, Sick & Nearly Dead 2","Fat, Sick & Nearly Dead 2 (2014)",Kurt Engfehr,null,Joe Cross,Phil Staples,Phil Staples,Joe Cross,Kurt Engfehr,eating,diet,reboot,eating,diet,1 video,Reboot USA,null,null,null,4 user,null,6.4,1176,null,null,USA,English,null,null
Jonestown: The Life and Death of Peoples Temple,Jonestown: The Life and Death of Peoples Temple (2006),Stanley Nelson,null,Marcia Smith,Tim Carter,Tim Carter,Marcia Smith,Marcia Smith,suicide,preacher,mass suicide,suicide,preacher,mass suicide,Firelight Media Inc.,null,null,26 April 2006 (USA),26 user,29 critic,7.9,4130,null,See more awards »,English,See more,null,company contact information
Pink Floyd at Pompeii,Pink Floyd at Pompeii (1972),Adrian Maben,null,David Gilmour,Richard Wright,Richard Wright,David Gilmour,Roger Waters,dark side of the moon,pompeii,band,dark side of the moon,pompeii,1 news article,Bayerischer Rundfunk (BR),Office de Radiodiffusion Télévision Française (ORTF),RM Productions Fernseh- und Filmgesellschaft mbH,25 October 1972 (France),46 user,12 critic,8.7,7294,null,null,English,See more,null,null
All the Queen's Horses,All the Queen's Horses (2017),Kelly Richmond Pope,null,null,null,null,null,null,embezzlement,fraud,null,embezzlement,fraud,null,Kartemquin Films,Helios Digital Learning,null,null,null,null,null,null,null,null,USA,English,null,null
Sexology,Sexology (2016),Gabrielle Anwar,Catherine Oxenberg,null,null,null,null,null,null,null,null,Documentary,null,null,Journeyman Pictures,null,null,null,5 user,null,5.5,60,null,null,English,Add content advisory for parents,null,null
The Bad Kids,The Bad Kids (2016),Keith Fulton,Louis Pepe,null,null,null,null,null,null,null,null,Documentary,null,3 videos,Low Key Pictures,null,null,null,3 critic,null,7.1,290,null,See more awards »,USA,See all certifications,null,"Black Rock, California, USA"
Red Army,Red Army (2014),Gabe Polsky,null,Gabe Polsky,Mark Deakins,Mark Deakins,Gabe Polsky,null,team,glory,History,team,glory,9 videos,Gabriel Polsky Productions,null,null,History,26 user,112 critic,7.6,5516,null,See more awards »,USA,English,Russian,null
Curse of the Blair Witch,Curse of the Blair Witch (1999),Daniel Myrick,Eduardo Sánchez,Daniel Myrick,Elaine Stebbins,Elaine Stebbins,Daniel Myrick,Ben Rock,witch,interview,Horror,witch,interview,11 news articles,Haxan Films,"Sci-Fi Channel, The",null,Horror,29 user,4 critic,6.4,1815,null,null,USA,English,null,null
Made in America,Made in America (2013),Ron Howard,null,Janelle Monáe,Tyler the Creator,Tyler the Creator,Janelle Monáe,Rita Ora,null,null,null,Documentary,Music,1 video,Imagine Entertainment,Radical Media,Translation,11 July 2014 (USA),19 critic,null,4.8,507,null,See more awards »,English,See all certifications,null,company contact information
Camp Beaverton: Meet the Beavers,Camp Beaverton: Meet the Beavers (2013),Ana Grillo,Beth Nelsen,Beth Nelsen,null,null,Beth Nelsen,null,camp,desert,Comedy,camp,desert,party,null,null,null,Comedy,3 user,null,5.7,86,null,null,USA,English,null,company contact information
