movie_link,movie_link-href,movie_title,Duration,metacritic_movie_ranking_Awards,MetaScore_link,MetaScore_link-href,Number_of_critic_review,MetaScore,critic_review_positive,metacritic_review_mixed,metacritc_review_Negetive,User_review_link,User_review_link-href,user_ratings,metacrtic_user_Score,metaCrtic_user_review_positive,metacritic_user_review_mixed,metacritic_user_review_Negetive
Kevin Hart: What Now?,http://www.metacritic.com/movie/kevin-hart-what-now,Kevin Hart: What Now?,96 min,null,METASCORE,http://www.metacritic.com/movie/kevin-hart-what-now/critic-reviews,based on 22 Critics,60,17,4,null,User Reviews,http://www.metacritic.com/movie/kevin-hart-what-now/user-reviews,based on 30 Ratings,4.5,11,null,13
Justin Timberlake + the Tennessee Kids,http://www.metacritic.com/movie/jt-+-the-tennessee-kids,Justin Timberlake + the Tennessee Kids,90 min,null,METASCORE,http://www.metacritic.com/movie/justin-timberlake-+-the-tennessee-kids/critic-reviews,based on 6 Critics,81,6,0,0,User Reviews,http://www.metacritic.com/movie/justin-timberlake-+-the-tennessee-kids/user-reviews,based on 49 Ratings,9.3,44,null,2
Do Not Resist,http://www.metacritic.com/movie/do-not-resist,Do Not Resist,72 min,null,METASCORE,http://www.metacritic.com/movie/do-not-resist/critic-reviews,based on 14 Critics,69,10,4,0,User Reviews,http://www.metacritic.com/movie/do-not-resist/user-reviews,null,tbd,null,null,null
Harry & Snowman,http://www.metacritic.com/movie/harry-snowman,Harry & Snowman,84 min,null,METASCORE,http://www.metacritic.com/movie/harry-snowman/critic-reviews,based on 4 Critics,74,4,0,0,User Reviews,http://www.metacritic.com/movie/harry-snowman/user-reviews,based on 7 Ratings,5.7,3,null,2
Voyage of Time: The IMAX Experience,http://www.metacritic.com/movie/voyage-of-time-the-imax-experience,Voyage of Time: The IMAX Experience,44 min,#84 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/voyage-of-time-the-imax-experience/critic-reviews,based on 11 Critics,77,9,2,0,User Reviews,http://www.metacritic.com/movie/voyage-of-time-the-imax-experience/user-reviews,based on 5 Ratings,9.2,5,0,0
The Lovers and the Despot,http://www.metacritic.com/movie/the-lovers-and-the-despot,The Lovers and the Despot,98 min,null,METASCORE,http://www.metacritic.com/movie/the-lovers-and-the-despot/critic-reviews,based on 23 Critics,65,18,5,0,User Reviews,http://www.metacritic.com/movie/the-lovers-and-the-despot/user-reviews,null,tbd,1,0,0
Passage to Mars,http://www.metacritic.com/movie/passage-to-mars,Passage to Mars,94 min,null,METASCORE,http://www.metacritic.com/movie/passage-to-mars/critic-reviews,based on 6 Critics,43,1,3,null,User Reviews,http://www.metacritic.com/movie/passage-to-mars/user-reviews,null,tbd,null,null,null
Amanda Knox,http://www.metacritic.com/movie/amanda-knox,Amanda Knox,92 min,#77 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/amanda-knox/critic-reviews,based on 17 Critics,78,14,3,0,User Reviews,http://www.metacritic.com/movie/amanda-knox/user-reviews,based on 26 Ratings,7.2,22,null,3
Oasis: Supersonic,http://www.metacritic.com/movie/oasis-supersonic,Oasis: Supersonic,122 min,null,METASCORE,http://www.metacritic.com/movie/oasis-supersonic/critic-reviews,based on 16 Critics,71,14,2,0,User Reviews,http://www.metacritic.com/movie/oasis-supersonic/user-reviews,based on 36 Ratings,8.3,30,null,4
13th,http://www.metacritic.com/movie/13th,13th,100 min,#8 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/13th/critic-reviews,based on 23 Critics,90,23,0,0,User Reviews,http://www.metacritic.com/movie/13th/user-reviews,based on 99 Ratings,8,81,null,12
Among the Believers,http://www.metacritic.com/movie/among-the-believers,Among the Believers,84 min,null,METASCORE,http://www.metacritic.com/movie/among-the-believers/critic-reviews,based on 10 Critics,74,8,2,0,User Reviews,http://www.metacritic.com/movie/among-the-believers/user-reviews,null,tbd,1,0,0
By Sidney Lumet,http://www.metacritic.com/movie/by-sidney-lumet,By Sidney Lumet,103 min,null,METASCORE,http://www.metacritic.com/movie/by-sidney-lumet/critic-reviews,based on 12 Critics,66,8,4,0,User Reviews,http://www.metacritic.com/movie/by-sidney-lumet/user-reviews,null,tbd,null,null,null
Rats,http://www.metacritic.com/movie/rats,Rats,84 min,null,METASCORE,http://www.metacritic.com/movie/rats/critic-reviews,based on 5 Critics,62,2,3,0,User Reviews,http://www.metacritic.com/movie/rats/user-reviews,null,tbd,2,0,0
Maya Angelou: And Still I Rise,http://www.metacritic.com/movie/maya-angelou-and-still-i-rise,Maya Angelou: And Still I Rise,114 min,null,METASCORE,http://www.metacritic.com/movie/maya-angelou-and-still-i-rise/critic-reviews,based on 4 Critics,66,4,0,0,User Reviews,http://www.metacritic.com/movie/maya-angelou-and-still-i-rise/user-reviews,null,tbd,null,null,null
The Uncondemned,http://www.metacritic.com/movie/the-uncondemned,The Uncondemned,81 min,null,METASCORE,http://www.metacritic.com/movie/the-uncondemned/critic-reviews,based on 6 Critics,80,6,0,0,User Reviews,http://www.metacritic.com/movie/the-uncondemned/user-reviews,null,tbd,null,null,null
Sky Ladder: The Art of Cai Guo-Qiang,http://www.metacritic.com/movie/sky-ladder-the-art-of-cai-guo-qiang,Sky Ladder: The Art of Cai Guo-Qiang,76 min,null,METASCORE,http://www.metacritic.com/movie/sky-ladder-the-art-of-cai-guo-qiang/critic-reviews,based on 10 Critics,73,9,1,0,User Reviews,http://www.metacritic.com/movie/sky-ladder-the-art-of-cai-guo-qiang/user-reviews,null,tbd,0,0,1
Michael Moore in TrumpLand,http://www.metacritic.com/movie/michael-moore-in-trumpland,Michael Moore in TrumpLand,73 min,null,METASCORE,http://www.metacritic.com/movie/michael-moore-in-trumpland/critic-reviews,based on 17 Critics,56,6,10,null,User Reviews,http://www.metacritic.com/movie/michael-moore-in-trumpland/user-reviews,based on 10 Ratings,4.4,4,0,6
We Are X,http://www.metacritic.com/movie/we-are-x,We Are X,93 min,null,METASCORE,http://www.metacritic.com/movie/we-are-x/critic-reviews,based on 10 Critics,64,5,5,0,User Reviews,http://www.metacritic.com/movie/we-are-x/user-reviews,null,tbd,null,null,null
Into the Inferno,http://www.metacritic.com/movie/into-the-inferno,Into the Inferno,104 min,null,METASCORE,http://www.metacritic.com/movie/into-the-inferno/critic-reviews,based on 17 Critics,76,16,1,0,User Reviews,http://www.metacritic.com/movie/into-the-inferno/user-reviews,based on 7 Ratings,7.3,5,null,1
Newtown,http://www.metacritic.com/movie/newtown,Newtown,85 min,#16 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/newtown/critic-reviews,based on 16 Critics,87,15,1,0,User Reviews,http://www.metacritic.com/movie/newtown/user-reviews,based on 8 Ratings,7.6,7,0,1
Kampai! For the Love of Sake,http://www.metacritic.com/movie/kampai!-for-the-love-of-sake,Kampai! For the Love of Sake,95 min,null,METASCORE,http://www.metacritic.com/movie/kampai!-for-the-love-of-sake/critic-reviews,based on 6 Critics,48,0,6,0,User Reviews,http://www.metacritic.com/movie/kampai!-for-the-love-of-sake/user-reviews,null,tbd,1,0,1
Cameraperson,http://www.metacritic.com/movie/cameraperson,Cameraperson,102 min,#22 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/cameraperson/critic-reviews,based on 21 Critics,86,21,0,0,User Reviews,http://www.metacritic.com/movie/cameraperson/user-reviews,based on 10 Ratings,6.8,7,null,1
"Making a Killing: Guns, Greed, and the NRA",http://www.metacritic.com/movie/making-a-killing-guns-greed-and-the-nra,"Making a Killing: Guns, Greed, and the NRA",103 min,null,METASCORE,http://www.metacritic.com/movie/making-a-killing-guns-greed-and-the-nra/critic-reviews,based on 5 Critics,57,2,3,0,User Reviews,http://www.metacritic.com/movie/making-a-killing-guns-greed-and-the-nra/user-reviews,null,tbd,null,null,null
When Two Worlds Collide,http://www.metacritic.com/movie/when-two-worlds-collide,When Two Worlds Collide,103 min,null,METASCORE,http://www.metacritic.com/movie/when-two-worlds-collide/critic-reviews,based on 8 Critics,71,7,1,0,User Reviews,http://www.metacritic.com/movie/when-two-worlds-collide/user-reviews,null,tbd,null,null,null
Citizen Soldier,http://www.metacritic.com/movie/citizen-soldier,Citizen Soldier,105 min,null,METASCORE,http://www.metacritic.com/movie/citizen-soldier/critic-reviews,based on 4 Critics,68,3,1,0,User Reviews,http://www.metacritic.com/movie/citizen-soldier/user-reviews,null,tbd,2,0,0
Dancer,http://www.metacritic.com/movie/dancer,Dancer,85 min,null,METASCORE,http://www.metacritic.com/movie/dancer/critic-reviews,based on 7 Critics,65,5,2,0,User Reviews,http://www.metacritic.com/movie/dancer/user-reviews,null,tbd,1,0,0
Starving the Beast,http://www.metacritic.com/movie/starving-the-beast,Starving the Beast,95 min,#93 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/starving-the-beast/critic-reviews,based on 7 Critics,77,7,0,0,User Reviews,http://www.metacritic.com/movie/starving-the-beast/user-reviews,null,tbd,null,null,null
The Seasons in Quincy: Four Portraits of John Berger,http://www.metacritic.com/movie/the-seasons-in-quincy-four-portraits-of-john-berger-2016,The Seasons in Quincy: Four Portraits of John Berger,90 min,null,METASCORE,http://www.metacritic.com/movie/the-seasons-in-quincy-four-portraits-of-john-berger-2016/critic-reviews,based on 9 Critics,56,2,7,0,User Reviews,http://www.metacritic.com/movie/the-seasons-in-quincy-four-portraits-of-john-berger-2016/user-reviews,null,tbd,null,null,null
Kate Plays Christine,http://www.metacritic.com/movie/kate-plays-christine,Kate Plays Christine,112 min,null,METASCORE,http://www.metacritic.com/movie/kate-plays-christine/critic-reviews,based on 19 Critics,75,16,2,null,User Reviews,http://www.metacritic.com/movie/kate-plays-christine/user-reviews,null,tbd,2,0,0
Command and Control,http://www.metacritic.com/movie/command-and-control,Command and Control,92 min,#83 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/command-and-control/critic-reviews,based on 15 Critics,77,14,1,0,User Reviews,http://www.metacritic.com/movie/command-and-control/user-reviews,null,tbd,1,0,0
Hillsong - Let Hope Rise,http://www.metacritic.com/movie/hillsong---let-hope-rise,Hillsong - Let Hope Rise,103 min,null,METASCORE,http://www.metacritic.com/movie/hillsong---let-hope-rise/critic-reviews,based on 6 Critics,43,1,3,null,User Reviews,http://www.metacritic.com/movie/hillsong---let-hope-rise/user-reviews,based on 11 Ratings,4.8,4,null,5
Author: The JT LeRoy Story,http://www.metacritic.com/movie/author-the-jt-leroy-story,Author: The JT LeRoy Story,110 min,null,METASCORE,http://www.metacritic.com/movie/author-the-jt-leroy-story/critic-reviews,based on 23 Critics,72,17,6,0,User Reviews,http://www.metacritic.com/movie/author-the-jt-leroy-story/user-reviews,null,tbd,1,0,0
The Ruins of Lifta,http://www.metacritic.com/movie/the-ruins-of-lifta,The Ruins of Lifta,77 min,null,METASCORE,http://www.metacritic.com/movie/the-ruins-of-lifta/critic-reviews,based on 4 Critics,71,4,0,0,User Reviews,http://www.metacritic.com/movie/the-ruins-of-lifta/user-reviews,null,tbd,null,null,null
For the Love of Spock,http://www.metacritic.com/movie/for-the-love-of-spock,For the Love of Spock,111 min,null,METASCORE,http://www.metacritic.com/movie/for-the-love-of-spock/critic-reviews,based on 8 Critics,74,7,1,0,User Reviews,http://www.metacritic.com/movie/for-the-love-of-spock/user-reviews,based on 6 Ratings,8.3,6,0,0
Miss Sharon Jones!,http://www.metacritic.com/movie/miss-sharon-jones!,Miss Sharon Jones!,93 min,#90 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/miss-sharon-jones!/critic-reviews,based on 15 Critics,77,14,1,0,User Reviews,http://www.metacritic.com/movie/miss-sharon-jones!/user-reviews,null,tbd,2,0,0
Floyd Norman: An Animated Life,http://www.metacritic.com/movie/floyd-norman-an-animated-life,Floyd Norman: An Animated Life,94 min,null,METASCORE,http://www.metacritic.com/movie/floyd-norman-an-animated-life/critic-reviews,based on 4 Critics,68,3,1,0,User Reviews,http://www.metacritic.com/movie/floyd-norman-an-animated-life/user-reviews,null,tbd,null,null,null
Southwest of Salem: The Story of the San Antonio Four,http://www.metacritic.com/movie/southwest-of-salem-the-story-of-the-san-antonio-four,Southwest of Salem: The Story of the San Antonio Four,91 min,null,METASCORE,http://www.metacritic.com/movie/southwest-of-salem-the-story-of-the-san-antonio-four/critic-reviews,based on 7 Critics,67,5,2,0,User Reviews,http://www.metacritic.com/movie/southwest-of-salem-the-story-of-the-san-antonio-four/user-reviews,null,tbd,null,null,null
Equal Means Equal,http://www.metacritic.com/movie/equal-means-equal,Equal Means Equal,93 min,null,METASCORE,http://www.metacritic.com/movie/equal-means-equal/critic-reviews,based on 4 Critics,71,3,1,0,User Reviews,http://www.metacritic.com/movie/equal-means-equal/user-reviews,null,tbd,null,null,null
Will You Dance with Me?,http://www.metacritic.com/movie/will-you-dance-with-me,Will You Dance with Me?,78 min,null,METASCORE,http://www.metacritic.com/movie/will-you-dance-with-me/critic-reviews,based on 4 Critics,71,3,1,0,User Reviews,http://www.metacritic.com/movie/will-you-dance-with-me/user-reviews,null,tbd,null,null,null
A Family Affair,http://www.metacritic.com/movie/a-family-affair-2016,A Family Affair,110 min,null,METASCORE,http://www.metacritic.com/movie/a-family-affair-2016/critic-reviews,based on 7 Critics,75,6,1,0,User Reviews,http://www.metacritic.com/movie/a-family-affair-2016/user-reviews,null,tbd,0,0,1
The Beatles: Eight Days a Week - The Touring Years,http://www.metacritic.com/movie/the-beatles-eight-days-a-week---the-touring-years,The Beatles: Eight Days a Week - The Touring Years,137 min,null,METASCORE,http://www.metacritic.com/movie/the-beatles-eight-days-a-week---the-touring-years/critic-reviews,based on 22 Critics,72,18,4,0,User Reviews,http://www.metacritic.com/movie/the-beatles-eight-days-a-week---the-touring-years/user-reviews,based on 20 Ratings,8.5,19,0,0
Lo and Behold: Reveries of the Connected World,http://www.metacritic.com/movie/lo-and-behold-reveries-of-the-connected-world,Lo and Behold: Reveries of the Connected World,98 min,#98 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/lo-and-behold-reveries-of-the-connected-world/critic-reviews,based on 28 Critics,76,27,1,0,User Reviews,http://www.metacritic.com/movie/lo-and-behold-reveries-of-the-connected-world/user-reviews,based on 11 Ratings,7.4,8,0,0
"Olympic Pride, American Prejudice",http://www.metacritic.com/movie/olympic-pride-american-prejudice,"Olympic Pride, American Prejudice",82 min,null,METASCORE,http://www.metacritic.com/movie/olympic-pride-american-prejudice/critic-reviews,based on 6 Critics,73,6,0,0,User Reviews,http://www.metacritic.com/movie/olympic-pride-american-prejudice/user-reviews,null,tbd,null,null,null
The Lost Arcade,http://www.metacritic.com/movie/the-lost-arcade,The Lost Arcade,79 min,null,METASCORE,http://www.metacritic.com/movie/the-lost-arcade/critic-reviews,based on 8 Critics,66,6,2,0,User Reviews,http://www.metacritic.com/movie/the-lost-arcade/user-reviews,null,tbd,null,null,null
Can We Take a Joke?,http://www.metacritic.com/movie/can-we-take-a-joke,Can We Take a Joke?,74 min,null,METASCORE,http://www.metacritic.com/movie/can-we-take-a-joke/critic-reviews,based on 6 Critics,49,2,2,null,User Reviews,http://www.metacritic.com/movie/can-we-take-a-joke/user-reviews,null,tbd,2,0,0
Richard Linklater: Dream Is Destiny,http://www.metacritic.com/movie/richard-linklater-dream-is-destiny,Richard Linklater: Dream Is Destiny,90 min,null,METASCORE,http://www.metacritic.com/movie/richard-linklater-dream-is-destiny/critic-reviews,based on 13 Critics,73,9,4,0,User Reviews,http://www.metacritic.com/movie/richard-linklater-dream-is-destiny/user-reviews,null,tbd,null,null,null
One More Time with Feeling,http://www.metacritic.com/movie/one-more-time-with-feeling,One More Time with Feeling,112 min,#6 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/one-more-time-with-feeling/critic-reviews,based on 14 Critics,92,14,0,0,User Reviews,http://www.metacritic.com/movie/one-more-time-with-feeling/user-reviews,based on 34 Ratings,8.5,28,null,2
Abortion: Stories Women Tell,http://www.metacritic.com/movie/abortion-stories-women-tell,Abortion: Stories Women Tell,92 min,#82 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/abortion-stories-women-tell/critic-reviews,based on 8 Critics,78,8,0,0,User Reviews,http://www.metacritic.com/movie/abortion-stories-women-tell/user-reviews,null,tbd,1,0,0
Generation Startup,http://www.metacritic.com/movie/generation-startup,Generation Startup,93 min,null,METASCORE,http://www.metacritic.com/movie/generation-startup/critic-reviews,based on 4 Critics,46,0,4,0,User Reviews,http://www.metacritic.com/movie/generation-startup/user-reviews,null,tbd,1,0,0
Silicon Cowboys,http://www.metacritic.com/movie/silicon-cowboys,Silicon Cowboys,77 min,null,METASCORE,http://www.metacritic.com/movie/silicon-cowboys/critic-reviews,based on 5 Critics,75,5,0,0,User Reviews,http://www.metacritic.com/movie/silicon-cowboys/user-reviews,null,tbd,2,0,0
Zero Days,http://www.metacritic.com/movie/zero-days,Zero Days,116 min,#86 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/zero-days/critic-reviews,based on 23 Critics,77,20,3,0,User Reviews,http://www.metacritic.com/movie/zero-days/user-reviews,based on 29 Ratings,7.4,20,null,3
Tony Robbins: I Am Not Your Guru,http://www.metacritic.com/movie/tony-robbins-i-am-not-your-guru,Tony Robbins: I Am Not Your Guru,115 min,null,METASCORE,http://www.metacritic.com/movie/tony-robbins-i-am-not-your-guru/critic-reviews,based on 8 Critics,51,1,6,null,User Reviews,http://www.metacritic.com/movie/tony-robbins-i-am-not-your-guru/user-reviews,null,tbd,2,0,0
Lucha Mexico,http://www.metacritic.com/movie/lucha-mexico,Lucha Mexico,103 min,null,METASCORE,http://www.metacritic.com/movie/lucha-mexico/critic-reviews,based on 6 Critics,56,3,3,0,User Reviews,http://www.metacritic.com/movie/lucha-mexico/user-reviews,null,tbd,null,null,null
"My Love, Don't Cross That River",http://www.metacritic.com/movie/my-love-dont-cross-that-river,"My Love, Don't Cross That River",86 min,null,METASCORE,http://www.metacritic.com/movie/my-love-dont-cross-that-river/critic-reviews,based on 8 Critics,68,6,1,null,User Reviews,http://www.metacritic.com/movie/my-love-dont-cross-that-river/user-reviews,null,tbd,1,0,0
Nuts!,http://www.metacritic.com/movie/nuts!,Nuts!,79 min,#42 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/nuts!/critic-reviews,based on 20 Critics,82,20,0,0,User Reviews,http://www.metacritic.com/movie/nuts!/user-reviews,null,tbd,1,0,0
Eat That Question: Frank Zappa in His Own Words,http://www.metacritic.com/movie/eat-that-question-frank-zappa-in-his-own-words,Eat That Question: Frank Zappa in His Own Words,93 min,null,METASCORE,http://www.metacritic.com/movie/eat-that-question-frank-zappa-in-his-own-words/critic-reviews,based on 22 Critics,74,19,3,0,User Reviews,http://www.metacritic.com/movie/eat-that-question-frank-zappa-in-his-own-words/user-reviews,based on 12 Ratings,6.8,10,0,2
"Hieronymus Bosch, Touched by the Devil",http://www.metacritic.com/movie/hieronymus-bosch-touched-by-the-devil,"Hieronymus Bosch, Touched by the Devil",86 min,null,METASCORE,http://www.metacritic.com/movie/hieronymus-bosch-touched-by-the-devil/critic-reviews,based on 10 Critics,64,7,3,0,User Reviews,http://www.metacritic.com/movie/hieronymus-bosch-touched-by-the-devil/user-reviews,null,tbd,null,null,null
Dying to Know: Ram Dass & Timothy Leary,http://www.metacritic.com/movie/dying-to-know-ram-dass-timothy-leary,Dying to Know: Ram Dass & Timothy Leary,95 min,null,METASCORE,http://www.metacritic.com/movie/dying-to-know-ram-dass-timothy-leary/critic-reviews,based on 6 Critics,69,5,1,0,User Reviews,http://www.metacritic.com/movie/dying-to-know-ram-dass-timothy-leary/user-reviews,null,tbd,2,0,1
Under the Sun,http://www.metacritic.com/movie/under-the-sun,Under the Sun,106 min,#49 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/under-the-sun/critic-reviews,based on 14 Critics,81,13,1,0,User Reviews,http://www.metacritic.com/movie/under-the-sun/user-reviews,based on 18 Ratings,6.1,10,null,5
Indian Point,http://www.metacritic.com/movie/indian-point,Indian Point,94 min,null,METASCORE,http://www.metacritic.com/movie/indian-point/critic-reviews,based on 4 Critics,68,2,2,0,User Reviews,http://www.metacritic.com/movie/indian-point/user-reviews,null,tbd,null,null,null
Norman Lear: Just Another Version of You,http://www.metacritic.com/movie/norman-lear-just-another-version-of-you,Norman Lear: Just Another Version of You,91 min,null,METASCORE,http://www.metacritic.com/movie/norman-lear-just-another-version-of-you/critic-reviews,based on 11 Critics,66,8,3,0,User Reviews,http://www.metacritic.com/movie/norman-lear-just-another-version-of-you/user-reviews,null,tbd,1,0,0
Hillary's America: The Secret History of the Democratic Party,http://www.metacritic.com/movie/hillarys-america-the-secret-history-of-the-democratic-party,Hillary's America: The Secret History of the Democratic Party,106 min,#42 Most Discussed Movie of 2016,METASCORE,http://www.metacritic.com/movie/hillarys-america-the-secret-history-of-the-democratic-party/critic-reviews,based on 17 Critics,2,0,0,0,User Reviews,http://www.metacritic.com/movie/hillarys-america-the-secret-history-of-the-democratic-party/user-reviews,based on 285 Ratings,4.7,133,null,146
Argentina,http://www.metacritic.com/movie/argentina,Argentina,85 min,null,METASCORE,http://www.metacritic.com/movie/argentina/critic-reviews,based on 4 Critics,66,3,1,0,User Reviews,http://www.metacritic.com/movie/argentina/user-reviews,null,tbd,null,null,null
Hooligan Sparrow,http://www.metacritic.com/movie/hooligan-sparrow,Hooligan Sparrow,84 min,#80 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/hooligan-sparrow/critic-reviews,based on 13 Critics,78,13,0,0,User Reviews,http://www.metacritic.com/movie/hooligan-sparrow/user-reviews,null,tbd,1,0,0
De Palma,http://www.metacritic.com/movie/de-palma,De Palma,107 min,#34 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/de-palma/critic-reviews,based on 31 Critics,83,30,1,0,User Reviews,http://www.metacritic.com/movie/de-palma/user-reviews,based on 21 Ratings,7.7,18,null,2
T-Rex,http://www.metacritic.com/movie/t-rex,T-Rex,91 min,null,METASCORE,http://www.metacritic.com/movie/t-rex/critic-reviews,based on 5 Critics,69,4,1,0,User Reviews,http://www.metacritic.com/movie/t-rex/user-reviews,null,tbd,null,null,null
Homo Sapiens,http://www.metacritic.com/movie/homo-sapiens,Homo Sapiens,94 min,null,METASCORE,http://www.metacritic.com/movie/homo-sapiens/critic-reviews,based on 5 Critics,84,5,0,0,User Reviews,http://www.metacritic.com/movie/homo-sapiens/user-reviews,null,tbd,1,0,0
Breaking a Monster,http://www.metacritic.com/movie/breaking-a-monster,Breaking a Monster,92 min,null,METASCORE,http://www.metacritic.com/movie/breaking-a-monster/critic-reviews,based on 10 Critics,72,9,1,0,User Reviews,http://www.metacritic.com/movie/breaking-a-monster/user-reviews,null,tbd,null,null,null
Gleason,http://www.metacritic.com/movie/gleason,Gleason,110 min,#58 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/gleason/critic-reviews,based on 29 Critics,80,28,1,0,User Reviews,http://www.metacritic.com/movie/gleason/user-reviews,based on 9 Ratings,8.3,7,0,0
Don't Blink - Robert Frank,http://www.metacritic.com/movie/dont-blink---robert-frank,Don't Blink - Robert Frank,82 min,null,METASCORE,http://www.metacritic.com/movie/dont-blink---robert-frank/critic-reviews,based on 10 Critics,75,7,2,null,User Reviews,http://www.metacritic.com/movie/dont-blink---robert-frank/user-reviews,null,tbd,null,null,null
Tickled,http://www.metacritic.com/movie/tickled,Tickled,92 min,null,METASCORE,http://www.metacritic.com/movie/tickled/critic-reviews,based on 28 Critics,76,27,1,0,User Reviews,http://www.metacritic.com/movie/tickled/user-reviews,based on 16 Ratings,7.1,12,null,2
Raiders!: The Story of the Greatest Fan Film Ever Made,http://www.metacritic.com/movie/raiders!-the-story-of-the-greatest-fan-film-ever-made,Raiders!: The Story of the Greatest Fan Film Ever Made,106 min,null,METASCORE,http://www.metacritic.com/movie/raiders!-the-story-of-the-greatest-fan-film-ever-made/critic-reviews,based on 20 Critics,70,16,3,null,User Reviews,http://www.metacritic.com/movie/raiders!-the-story-of-the-greatest-fan-film-ever-made/user-reviews,based on 16 Ratings,5.6,9,null,6
Free to Run,http://www.metacritic.com/movie/free-to-run,Free to Run,90 min,null,METASCORE,http://www.metacritic.com/movie/free-to-run/critic-reviews,based on 4 Critics,54,1,3,0,User Reviews,http://www.metacritic.com/movie/free-to-run/user-reviews,null,tbd,null,null,null
Yarn,http://www.metacritic.com/movie/garn,Yarn,79 min,null,METASCORE,http://www.metacritic.com/movie/yarn/critic-reviews,based on 5 Critics,61,4,1,0,User Reviews,http://www.metacritic.com/movie/yarn/user-reviews,null,tbd,null,null,null
Ants on a Shrimp,http://www.metacritic.com/movie/ants-on-a-shrimp,Ants on a Shrimp,88 min,null,METASCORE,http://www.metacritic.com/movie/ants-on-a-shrimp/critic-reviews,based on 6 Critics,65,3,3,0,User Reviews,http://www.metacritic.com/movie/ants-on-a-shrimp/user-reviews,null,tbd,null,null,null
Roseanne for President!,http://www.metacritic.com/movie/roseanne-for-president!,Roseanne for President!,96 min,null,METASCORE,http://www.metacritic.com/movie/roseanne-for-president!/critic-reviews,based on 5 Critics,62,2,3,0,User Reviews,http://www.metacritic.com/movie/roseanne-for-president!/user-reviews,null,tbd,0,0,1
The Seventh Fire,http://www.metacritic.com/movie/the-seventh-fire,The Seventh Fire,76 min,null,METASCORE,http://www.metacritic.com/movie/the-seventh-fire/critic-reviews,based on 12 Critics,66,8,3,null,User Reviews,http://www.metacritic.com/movie/the-seventh-fire/user-reviews,null,tbd,null,null,null
Women He's Undressed,http://www.metacritic.com/movie/women-hes-undressed,Women He's Undressed,95 min,null,METASCORE,http://www.metacritic.com/movie/women-hes-undressed/critic-reviews,based on 6 Critics,76,5,1,0,User Reviews,http://www.metacritic.com/movie/women-hes-undressed/user-reviews,null,tbd,1,0,0
The Blackout Experiments,http://www.metacritic.com/movie/the-blackout-experiments,The Blackout Experiments,78 min,null,METASCORE,http://www.metacritic.com/movie/the-blackout-experiments/critic-reviews,based on 4 Critics,49,1,2,null,User Reviews,http://www.metacritic.com/movie/the-blackout-experiments/user-reviews,null,tbd,1,0,1
"Life, Animated",http://www.metacritic.com/movie/life-animated,"Life, Animated",89 min,null,METASCORE,http://www.metacritic.com/movie/life-animated/critic-reviews,based on 25 Critics,75,21,3,null,User Reviews,http://www.metacritic.com/movie/life-animated/user-reviews,based on 14 Ratings,8.6,14,0,0
Elstree 1976,http://www.metacritic.com/movie/elstree-1976,Elstree 1976,90 min,null,METASCORE,http://www.metacritic.com/movie/elstree-1976/critic-reviews,based on 15 Critics,66,10,4,null,User Reviews,http://www.metacritic.com/movie/elstree-1976/user-reviews,based on 6 Ratings,5.3,3,null,2
Almost Holy,http://www.metacritic.com/movie/almost-holy,Almost Holy,96 min,null,METASCORE,http://www.metacritic.com/movie/almost-holy/critic-reviews,based on 14 Critics,73,12,2,0,User Reviews,http://www.metacritic.com/movie/almost-holy/user-reviews,null,tbd,null,null,null
Art Bastard,http://www.metacritic.com/movie/art-bastard,Art Bastard,82 min,null,METASCORE,http://www.metacritic.com/movie/art-bastard/critic-reviews,based on 13 Critics,70,11,2,0,User Reviews,http://www.metacritic.com/movie/art-bastard/user-reviews,null,tbd,null,null,null
The God Cells,http://www.metacritic.com/movie/the-god-cells,The God Cells,94 min,null,METASCORE,http://www.metacritic.com/movie/the-god-cells/critic-reviews,based on 4 Critics,49,1,3,0,User Reviews,http://www.metacritic.com/movie/the-god-cells/user-reviews,null,tbd,null,null,null
Hockney,http://www.metacritic.com/movie/hockney,Hockney,112 min,null,METASCORE,http://www.metacritic.com/movie/hockney/critic-reviews,based on 13 Critics,65,8,5,0,User Reviews,http://www.metacritic.com/movie/hockney/user-reviews,null,tbd,2,0,0
