movie_link,movie_link-href,movie_title,Duration,metacritic_movie_ranking_Awards,MetaScore_link,MetaScore_link-href,Number_of_critic_review,MetaScore,critic_review_positive,metacritic_review_mixed,metacritc_review_Negetive,User_review_link,User_review_link-href,user_ratings,metacrtic_user_Score,metaCrtic_user_review_positive,metacritic_user_review_mixed,metacritic_user_review_Negetive
Long Strange Trip,http://www.metacritic.com/movie/long-strange-trip,Long Strange Trip,238 min,#51 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/long-strange-trip/critic-reviews,based on 13 Critics,78,12,1,0,User Reviews,http://www.metacritic.com/movie/long-strange-trip/user-reviews,null,tbd,null,null,null
"Hare Krishna! The Mantra, the Movement and the Swami Who Started It All",http://www.metacritic.com/movie/hare-krishna!-the-mantra-the-movement-and-the-swami-who-started-it-all,"Hare Krishna! The Mantra, the Movement and the Swami Who Started It All",90 min,null,METASCORE,http://www.metacritic.com/movie/hare-krishna!-the-mantra-the-movement-and-the-swami-who-started-it-all/critic-reviews,based on 5 Critics,43,0,5,0,User Reviews,http://www.metacritic.com/movie/hare-krishna!-the-mantra-the-movement-and-the-swami-who-started-it-all/user-reviews,null,tbd,1,0,0
The Freedom to Marry,http://www.metacritic.com/movie/the-freedom-to-marry,The Freedom to Marry,86 min,null,METASCORE,http://www.metacritic.com/movie/the-freedom-to-marry/critic-reviews,based on 6 Critics,67,4,2,0,User Reviews,http://www.metacritic.com/movie/the-freedom-to-marry/user-reviews,null,tbd,1,0,0
American Anarchist,http://www.metacritic.com/movie/american-anarchist,American Anarchist,80 min,null,METASCORE,http://www.metacritic.com/movie/american-anarchist/critic-reviews,based on 5 Critics,58,2,3,0,User Reviews,http://www.metacritic.com/movie/american-anarchist/user-reviews,null,tbd,null,null,null
Jeremiah Tower: The Last Magnificent,http://www.metacritic.com/movie/jeremiah-tower-the-last-magnificent,Jeremiah Tower: The Last Magnificent,103 min,null,METASCORE,http://www.metacritic.com/movie/jeremiah-tower-the-last-magnificent/critic-reviews,based on 15 Critics,68,13,2,0,User Reviews,http://www.metacritic.com/movie/jeremiah-tower-the-last-magnificent/user-reviews,null,tbd,null,null,null
Karl Marx City,http://www.metacritic.com/movie/karl-marx-city,Karl Marx City,89 min,null,METASCORE,http://www.metacritic.com/movie/karl-marx-city/critic-reviews,based on 10 Critics,73,8,2,0,User Reviews,http://www.metacritic.com/movie/karl-marx-city/user-reviews,null,tbd,null,null,null
SHOT! The Psycho-Spiritual Mantra of Rock,http://www.metacritic.com/movie/shot!-the-psycho-spiritual-mantra-of-rock,SHOT! The Psycho-Spiritual Mantra of Rock,98 min,null,METASCORE,http://www.metacritic.com/movie/shot!-the-psycho-spiritual-mantra-of-rock/critic-reviews,based on 8 Critics,64,4,4,0,User Reviews,http://www.metacritic.com/movie/shot!-the-psycho-spiritual-mantra-of-rock/user-reviews,null,tbd,null,null,null
Uncertain,http://www.metacritic.com/movie/uncertain,Uncertain,82 min,#7 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/uncertain/critic-reviews,based on 7 Critics,89,7,0,0,User Reviews,http://www.metacritic.com/movie/uncertain/user-reviews,null,tbd,1,0,0
God Knows Where I Am,http://www.metacritic.com/movie/god-knows-where-i-am,God Knows Where I Am,97 min,null,METASCORE,http://www.metacritic.com/movie/god-knows-where-i-am/critic-reviews,based on 11 Critics,66,8,3,0,User Reviews,http://www.metacritic.com/movie/god-knows-where-i-am/user-reviews,null,tbd,null,null,null
The Settlers,http://www.metacritic.com/movie/the-settlers,The Settlers,107 min,#83 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/the-settlers/critic-reviews,based on 8 Critics,75,8,0,0,User Reviews,http://www.metacritic.com/movie/the-settlers/user-reviews,null,tbd,null,null,null
David Lynch: The Art Life,http://www.metacritic.com/movie/david-lynch-the-art-life,David Lynch: The Art Life,88 min,#85 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/david-lynch-the-art-life/critic-reviews,based on 17 Critics,75,16,1,0,User Reviews,http://www.metacritic.com/movie/david-lynch-the-art-life/user-reviews,null,tbd,3,0,0
The Human Surge,http://www.metacritic.com/movie/el-auge-del-humano,The Human Surge,100 min,null,METASCORE,http://www.metacritic.com/movie/the-human-surge/critic-reviews,based on 7 Critics,56,3,2,null,User Reviews,http://www.metacritic.com/movie/the-human-surge/user-reviews,null,tbd,null,null,null
Tickling Giants,http://www.metacritic.com/movie/tickling-giants,Tickling Giants,111 min,#58 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/tickling-giants/critic-reviews,based on 11 Critics,78,11,0,0,User Reviews,http://www.metacritic.com/movie/tickling-giants/user-reviews,null,tbd,1,0,0
Bang! The Bert Berns Story,http://www.metacritic.com/movie/bang!-the-bert-berns-story,Bang! The Bert Berns Story,94 min,null,METASCORE,http://www.metacritic.com/movie/bang!-the-bert-berns-story/critic-reviews,based on 5 Critics,79,5,0,0,User Reviews,http://www.metacritic.com/movie/bang!-the-bert-berns-story/user-reviews,null,tbd,null,null,null
I Called Him Morgan,http://www.metacritic.com/movie/i-called-him-morgan,I Called Him Morgan,92 min,#5 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/i-called-him-morgan/critic-reviews,based on 20 Critics,90,20,0,0,User Reviews,http://www.metacritic.com/movie/i-called-him-morgan/user-reviews,null,tbd,2,0,0
Finding Oscar,http://www.metacritic.com/movie/finding-oscar,Finding Oscar,100 min,null,METASCORE,http://www.metacritic.com/movie/finding-oscar/critic-reviews,based on 7 Critics,72,6,1,0,User Reviews,http://www.metacritic.com/movie/finding-oscar/user-reviews,null,tbd,null,null,null
